name,link,ingredients_num,ingredients,steps,stars,votes,img
Chicken tinga-style enchiladas,https://www.bbcgoodfood.com/recipes/chicken-tinga-style-enchiladas,11,"['1 tbsp olive oil', '1 onion, finely sliced', '2 garlic cloves, crushed', 'small handful of coriander, leaves picked and stems finely chopped', '1-2 tsp chipotle paste', '2 x 400g cans chopped tomatoes', '2 chicken breasts', '200g frozen sweetcorn', '8 medium wholemeal tortillas', '65g cheddar, grated', 'guacamole, salsa and pickled jalapeños, to serve']","['STEP 1Heat the oven to 180C/160C fan/gas 4. Heat the oil in a large, non-stick, ovenproof frying pan over a medium-high heat and fry the onion, garlic and coriander stems with a pinch of salt for a few minutes until softened slightly. Add the chipotle paste, tomatoes and 200ml water. Lay in the chicken and turn up the heat. Cook for 15 mins until reduced and the chicken is cooked through. Remove the chicken and put on a chopping board. Set a third of the sauce aside in a bowl. Using two forks, shred the chicken, then return to the pan. Tip in the sweetcorn and season, adding more chipotle, if you like.', 'STEP 2Lay the tortillas out on a clean work surface and divide the mixture between them. Roll up and place back into the pan or a baking dish if your pan isn’t ovenproof. Spread over the reserved sauce, sprinkle with the cheese and bake for 15-20 mins until golden. Serve with the coriander leaves sprinkled over and guacamole, salsa and pickled jalapeños, if you like.']",A star rating of 5 out of 5.,2 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Chicken-Tinga-Enchiladas-c4eded1.jpg?quality=90&resize=556,505"
Chicken & new potato traybake,https://www.bbcgoodfood.com/recipes/chicken-new-potato-traybake,8,"['3 tbsp olive oil', '500g new potatoes', '140g large pitted green olives', '1 lemon, quartered', '8 fresh bay leaves', '6 garlic cloves, unpeeled', '4 large chicken thighs', 'bag watercress or salad leaves, to serve']","['STEP 1Heat oven to 200C/180C fan/gas 6. Pour the olive oil into a large roasting tin and add the potatoes, olives, lemon quarters, bay leaves and garlic. Toss everything together so it’s coated in oil and evenly distributed. Add the chicken thighs, skin-side up, and season.', 'STEP 2Put the roasting tin in the oven and roast for 1 hr, basting with the pan juices halfway through cooking. After 1 hr, check that the potatoes are soft and the chicken is cooked through, then return to the oven for a final 15 mins to crisp the chicken skin.', 'STEP 3Remove the roasting tin from the oven. Press down on the roasted garlic cloves with the back of a spoon, discard the skins, and mix the mashed garlic with the meat juices. Serve with watercress or your favourite salad leaves on the side.']",A star rating of 4.3 out of 5.,49 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken-new-potato-traybake-025d900.jpg?quality=90&resize=440,400"
Classic meatloaf with tomato sauce,https://www.bbcgoodfood.com/recipes/classic-meatloaf-tomato-sauce,14,"['1 tbsp olive oil', '1 onion, finely chopped', '1 garlic clove, crushed', '2 tbsp tomato purée', '500g beef mince', '1 egg', '85g fresh breadcrumbs', '1 tbsp olive oil', '1 onion, finely chopped', '1 carrot, finely chopped', '1 celery stick, finely chopped', '1 garlic clove, finely chopped', '500ml passata with basil', 'peas and mash, to serve (optional)']","['STEP 1Heat the oil in a frying pan and add the onion, cook for 4-5 mins over a low heat, then stir in the garlic. Leave to cool completely.', 'STEP 2To make the tomato sauce, heat the oil in a saucepan and fry the onion, carrot and celery for 3-4 mins, then add the garlic and cook for a minute. Add the passata and bring to a simmer, then season and cook for 5 mins.', 'STEP 3Heat oven to 180C/160C fan/gas 4. Mix the cooled onion with the tomato purée, mince, egg and breadcrumbs, and season. Line a 900g loaf tin with a liner or baking parchment and pack in the meatloaf mixture. Cook for 20-25 mins or until a skewer poked into the centre feels roasting hot when pulled out. Leave to rest for 10 mins before lifting out of the tin.', 'STEP 4Serve slices of the meatloaf with some tomato sauce spooned over. Wrap any remaining meatloaf and use it as a sandwich filling for a lunchbox. Can be frozen for up to a month.']",A star rating of 3.8 out of 5.,17 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/meatloaf-e32892d.jpg?quality=90&resize=440,400"
Butternut squash & cherry tomato crumble,https://www.bbcgoodfood.com/recipes/butternut-squash-cherry-tomato-crumble,13,"['1 tbsp olive oil', '1 onion, finely chopped', '1 garlic clove, finely chopped or grated', '1 small butternut squash, peeled, deseeded and cut into bite-sized pieces', '400g can cherry tomatoes', '150g mascarpone', '100g spinach', '200g plain flour', '125g cold butter, cut into cubes', '50g parmesan or vegetarian alternative, grated', '50g cheddar, grated', '50g walnuts, chopped', 'few thyme sprigs, leaves picked']","['STEP 1Heat the oven to 200C/180C fan/gas 6. Heat the oil in a large frying pan over a medium-low heat and fry the onion until softened but not coloured, about 10-12 mins. Stir in the garlic and cook for 1 min more before tipping in the squash. Cook for 8-10 mins until the squash has started to soften, then stir in the tomatoes, mascarpone and spinach. Season well and cook for a few minutes more to warm everything through, then tip into a medium baking dish (ours was 22 x 22cm).', 'STEP 2For the crumble, rub the flour and butter together or blitz in a food processor to a breadcrumb-like consistency. Stir in the cheese, walnuts and thyme, and season. Scatter the crumble over the squash filling, being careful not to pack it down. Bake for 30-40 mins until the squash is tender and the crumble is golden.']",A star rating of 5 out of 5.,3 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2023/09/Butternut-squash-and-cherry-tomato-crumble-7ac0e83.jpg?quality=90&resize=556,505"
Simple mushroom curry,https://www.bbcgoodfood.com/recipes/simple-mushroom-curry,16,"['50g unsalted butter', '500g chestnut mushrooms, quartered', '4-6 tbsp sunflower oil', '1 tsp cumin seeds', '1 tsp fennel seeds', '1 large onion, finely chopped', '4 garlic cloves, finely chopped', '1 tsp ground ginger', '¼ tsp ground turmeric', '½ tsp Kashmiri chilli powder', '½ tsp garam masala', '400g can chopped tomatoes', '1 tsp caster sugar', '2 tbsp thick, full-fat Greek yogurt', '2 tbsp chopped coriander', 'cooked rice  or naan, to serve']","['STEP 1Melt the butter in a large wok, karahi or non-stick frying pan over a medium-high heat and cook the mushrooms for 10 mins, or until any moisture has evaporated and they’re starting to brown. Transfer to a bowl and set aside.', 'STEP 2Heat the oil in the same pan over a medium-high heat and fry the cumin and fennel seeds, stirring continuously for about 30 seconds until they release a nutty aroma. Stir in the onion and cook for 12-15 mins until golden. Reduce the heat to medium, then add the garlic and continue frying for 1 min. Add the ginger, turmeric, chilli powder and garam masala, followed by the tomatoes and sugar. Cook, uncovered, for 5-7 mins, or until the masala thickens and a layer of oil forms around the edge of the pan.', 'STEP 3Spoon the yogurt into a small bowl, add a small ladleful of the hot masala and mix well before stirring the yogurt into the pan of masala. Pour in 100ml hot water and simmer for 3-4 mins until the curry has the consistency of double cream. Season to taste, then return the mushrooms to the pan and stir to warm through. Scatter with the chopped coriander and serve with boiled rice or naan, if you like.']",A star rating of 4.8 out of 5.,15 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2022/10/Simple-mushroom-curry-26e3403.jpg?quality=90&resize=556,505"
Vegetarian enchiladas,https://www.bbcgoodfood.com/recipes/bean-enchiladas,9,"['1 tsp olive oil', '2 onions, chopped', '280g carrots, grated', '2-3 tsp chilli powder (mild or hot, according to your taste)', '2 x 400g cans chopped tomatoes', '2 x 400g cans pulses in water, drained (we used mixed beans and lentils)', '6 small wholemeal tortillas', '200g low-fat natural yogurt', '50g extra-mature cheddar cheese (or veg alternative), finely grated']","['STEP 1Heat the oil in a large frying pan. Cook the onions and carrots for 5-8 mins until soft – add a splash of water if they start to stick. Sprinkle in the chilli powder and cook for 1 min more. Pour in the tomatoes and pulses and bring to the boil. Turn down the heat and simmer for 5-10 mins, stirring occasionally, until thickened. Remove from the heat and season well.', 'STEP 2Heat grill to high. Spread a spoonful of the bean chilli over a large ovenproof dish. Lay each tortilla onto a board, fill with a few tbsp of chilli mixture, fold over the ends and roll up to seal. Place them into the ovenproof dish. Spoon the remaining chilli on top.', 'STEP 3Mix the yogurt and grated cheese together with some seasoning, and spoon over the enchiladas. Grill for a few mins until the top is golden and bubbling. Serve with a green salad.']",A star rating of 4.5 out of 5.,254 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2011/01/Vegetarian-enchiladas-50345cc.jpg?quality=90&resize=556,505"
Creamy baked gnocchi with squash & spinach,https://www.bbcgoodfood.com/recipes/creamy-baked-gnocchi-with-squash-spinach,9,"['600g butternut squash, peeled, deseeded and cut into small chunks (450g prepared weight)', '1 tbsp olive oil, plus a drizzle (for optional air-frying)', '2 garlic cloves, crushed', '160g baby leaf spinach', '250g mascarpone', 'grating of nutmeg', '30g parmesan or vegetarian alternative, grated', '500g gnocchi', '3 tbsp  fresh or dried breadcrumbs']","['STEP 1Put the squash in a heatproof bowl with a splash of water and pinch of seasoning, then cover and microwave on high for 5 mins. Or, toss the squash in a drizzle of oil and some seasoning, and cook for 12 mins at 200C in an air fryer until soft and caramelised. It can also be roasted in the oven for 25 mins.', 'STEP 2Meanwhile, heat 2 tsp of the oil in a large ovenproof frying pan over a medium heat and fry the garlic for 30 seconds until sizzling but not coloured. Add the spinach, season and cook until wilted.', 'STEP 3When the squash is tender, roughly mash half of it using a fork. Stir the mashed squash and the mascarpone into the spinach, then add 150ml water and stir until you have a smooth, creamy sauce. Grate in a generous amount of nutmeg and add half the parmesan. Gently stir in the gnocchi and squash chunks to coat in the sauce. Simmer for 1-2 mins until everything is heated through, adding a splash of water if the sauce is very thick. Scatter over the breadcrumbs and remaining parmesan.', 'STEP 4Heat the grill to medium-high, then slide the gnocchi under for a few minutes until golden and bubbling at the edges.']",A star rating of 4.7 out of 5.,23 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2022/12/Creamy-Baked-Gnocchi-Spinach-and-Squash-4b38d7b.jpg?quality=90&resize=556,505"
Curried satay noodles,https://www.bbcgoodfood.com/recipes/curried-sate-noodles,14,"['150g dried wholewheat noodles', '2 tsp rapeseed oil', '1 red pepper, halved seeded and thinly sliced', '1 carrot,  cut into matchsticks (about 90g)', '1 tbsp finely chopped ginger', '3 garlic cloves, finely chopped', '1 chilli, deseeded and finely chopped (optional)', '½ tsp cumin seeds', '1-2 tsp curry powder', '2 ½ -3 tbsp crunchy peanut butter', '1 tbsp tomato purée', '150ml vegetable stock,  made with 1⁄2 tsp vegetable bouillon', '100g frozen peas', '½ lemon, juiced']","['STEP 1Boil the noodles following pack instructions, then rinse well to ensure the strands are separate. Meanwhile, heat the oil in a wok or sauté pan over a high heat and stir-fry the pepper, carrot, ginger, garlic and chilli, if using, for 5 mins until softened. Stir in the cumin seeds and curry powder and cook for 30 seconds or so until aromatic.', 'STEP 2Mix the peanut butter and tomato purée with the vegetable stock until smooth. Add the drained noodles to the wok along with the frozen peas, then pour in the peanut and tomato mixture and toss everything together. If it seems a bit claggy, stir in a drop more water. Squeeze in the lemon juice, toss well and serve.This recipe is part of our free 7-day healthy diet plan. To access the full meal plan, click here.']",A star rating of 4 out of 5.,16 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2022/11/Curried-sate-noodles-75bdc86.jpg?quality=90&resize=556,505"
Sweet potato & peanut curry,https://www.bbcgoodfood.com/recipes/satay-sweet-potato-curry,12,"['1 tbsp coconut oil', '1 onion, chopped', '2 garlic cloves, grated', 'thumb-sized piece ginger, grated', '3 tbsp Thai red curry paste (check the label to make sure it’s vegetarian/ vegan)', '1 tbsp smooth peanut butter', '500g sweet potato, peeled and cut into chunks', '400ml can coconut milk', '200g bag spinach', '1 lime, juiced', 'cooked rice, to serve (optional)', 'dry roasted peanuts, to serve (optional)']","['STEP 1Melt 1 tbsp coconut oil in a saucepan over a medium heat and soften 1 chopped onion for 5 mins. Add 2 grated garlic cloves and a grated thumb-sized piece of ginger, and cook for 1 min until fragrant.', 'STEP 2Stir in 3 tbsp Thai red curry paste, 1 tbsp smooth peanut butter and 500g sweet potato, peeled and cut into chunks, then add 400ml coconut milk and 200ml water.', 'STEP 3Bring to the boil, turn down the heat and simmer, uncovered, for 25-30 mins or until the sweet potato is soft.', 'STEP 4Stir through 200g spinach and the juice of 1 lime, and season well. Serve with cooked rice, and if you want some crunch, sprinkle over a few dry roasted peanuts.']",A star rating of 4.7 out of 5.,953 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/satay-sweet-potato-curry-17cc62d.jpg?quality=90&resize=440,400"
Bean & halloumi stew,https://www.bbcgoodfood.com/recipes/bean-halloumi-stew,11,"['3 tbsp olive oil', '1 onion, thinly sliced', '1 red pepper, thinly sliced', '2 garlic cloves, crushed', '3 tbsp red chilli pesto, sundried tomato pesto or vegan alternative', '1 heaped tsp ground coriander', '400g can mixed beans, drained and rinsed', '400g can chopped tomatoes', '½ x 250g block halloumi, sliced', '½ small bunch of coriander, finely chopped', 'garlic bread, to serve (optional)']","['STEP 1Heat 2 tbsp of oil in a frying pan over a medium heat. Add the onion and pepper, along with a pinch of salt and fry for 10 mins or until softened. Add the garlic, pesto and ground coriander, and cook for 1 min. Tip in the beans and tomatoes along with ½ can of water, then bring to a simmer and cook uncovered for 10 mins.', 'STEP 2Add the remaining oil to a separate frying pan over a medium heat. Fry the halloumi for 2 mins on each side or until golden brown.', 'STEP 3Taste the beans for seasoning, then spoon into deep bowls. Top with the halloumi and scatter over the chopped coriander. Serve with garlic bread, if you like.']",A star rating of 4.7 out of 5.,285 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/bean-halloumi-stew-d5940b2.jpg?quality=90&resize=440,400"
